Intervention_Name,Category,Subcategory,Mechanism_of_Action,Target_Hallmark(s),Preclinical_Evidence_Summary,Lifespan_Extension_Pct,Species_Tested,Clinical_Trial_Phase,NCT_Number,Clinical_Endpoints,Clinical_Results_Summary,Safety_Profile,Key_Publication,Publication_Year,DOI_or_URL,Evidence_Grade,Notes
Follistatin Gene Therapy,Gene Therapy,AAV-delivered myostatin antagonist,"Follistatin binds and neutralizes TGF-beta superfamily members (activin, myostatin); by inhibiting myostatin (negative regulator of muscle growth) promotes muscle growth/maintenance, reduces fibrosis, improves metabolic function and physical performance",Stem Cell Exhaustion;Altered Intercellular Communication;Loss of Proteostasis,"Intranasal AAV delivery of follistatin extended mouse lifespan by ~30%; improved physical performance; demonstrated synergy with Klotho gene therapy",30,Mouse,Early clinical,N/A,"Lifespan; physical performance; muscle mass; combined with Klotho in healthy adult trial","Combined with Klotho in clinical trial for healthy adults (ongoing); prior clinical experience with follistatin gene therapy in muscular dystrophy provides safety data","Prior muscular dystrophy clinical experience provides baseline safety data; AAV vector delivery carries standard gene therapy risks; long-term overexpression effects unknown","Intranasal AAV-Follistatin lifespan study",2024,N/A,C,"~30% lifespan extension is among largest for single-gene interventions; synergy with Klotho gene therapy demonstrated"
SIRT6 Overexpression,Gene Therapy,NAD-dependent deacetylase overexpression,"SIRT6 is NAD-dependent deacetylase critical for: DNA DSB repair (NHEJ and HR); glucose homeostasis; NF-kB RelA/p65 deacetylation (inflammation reduction); H3K9 deacetylation at telomeres (telomere maintenance); heterochromatin stability",Genomic Instability;Telomere Attrition;Chronic Inflammation;Deregulated Nutrient-Sensing,"SIRT6 overexpression: 30% lifespan increase in both sexes in transgenic mice (Cohen lab, Bar-Ilan University); preserved hepatic glucose output; improved NAD+ synthesis; suppresses LINE-1 retrotransposon activity",30,Mouse,Preclinical,N/A,N/A,"GF-1002: SIRT6 gene variant enriched in centenarians with demonstrated preclinical adipogenic, anti-fibrotic, and anti-tumoral properties; TripleHelix pursuing clinical development","SIRT6 overexpression appears safe in transgenic models; no adverse effects reported; tumor suppressor function suggests potential anti-cancer benefit","Cohen lab SIRT6 transgenic lifespan studies. Bar-Ilan University",2023,N/A,C,"GF-1002 variant enriched in centenarians; TripleHelix pursuing clinical development; tumor suppressor function is a safety advantage"
TERT Gene Therapy,Gene Therapy,Telomerase reverse transcriptase delivery,"TERT is catalytic subunit of telomerase; extends telomeres increasing replicative capacity; improves tissue regeneration; reduces telomere-driven senescence; extra-telomeric functions as transcription factor: neurogenesis, Wnt/beta-catenin modulation, SASP suppression",Telomere Attrition;Cellular Senescence;Stem Cell Exhaustion;Genomic Instability,"Blasco lab: AAV-TERT extended mouse lifespan without increasing cancer incidence (critical safety finding); TERT also functions as transcription factor affecting neurogenesis, Wnt signaling, senescence suppression",Not reported (lifespan extended),Mouse,Preclinical,N/A,N/A,"No human clinical trials; preclinical only; Bioviva (controversial self-experimentation) claimed telomere elongation but not peer-reviewed","AAV-TERT did not increase cancer incidence in mice (Blasco lab) addressing primary safety concern; standard AAV gene therapy risks apply; long-term effects unknown","Blasco lab. AAV-TERT lifespan extension without cancer increase",2012,N/A,D,"Key finding: no cancer increase despite telomerase activation; TERT has important extra-telomeric transcription factor functions"
"H-151 (STING Inhibitor)",Inflammaging Target,cGAS-STING pathway inhibitor,"Small-molecule STING inhibitor; blocks cGAS-STING-driven sterile inflammation; STING normally activated by cytosolic DNA from mitochondrial damage, nuclear envelope rupture, genomic instability; drives type I interferon and NF-kB-mediated chronic inflammation",Chronic Inflammation;Genomic Instability;Mitochondrial Dysfunction,"H-151 improved muscle strength and memory in aged mice; reduced microgliosis (brain inflammation); Nature 2023: cGAS-STING drives ageing-related neuroinflammation; PNAS 2025: noncanonical cGAS-STING pathway drives cellular/organismal aging",Not reported,Mouse,Preclinical,N/A,N/A,"No dedicated aging clinical trials; multiple pharma companies developing STING inhibitors for inflammatory/autoimmune diseases (potential repurposing); novel indole STING inhibitors and STING degraders (PROTACs) in development","Safety profile for long-term use unknown; concern about compromising antiviral and antitumor immunity with chronic STING inhibition; musculoskeletal disease applications being explored","cGAS-STING drives ageing-related inflammation and neurodegeneration. Nature. 2023",2023,N/A,D,"cGAS-STING is a central inflammaging mechanism; STING inhibition is a novel therapeutic strategy; musculoskeletal applications being explored"
Plasma Exchange / Therapeutic Plasmapheresis,Parabiosis Approach,Blood factor dilution/replacement,"Based on heterochronic parabiosis; Conboy hypothesis: benefits come primarily from dilution/neutralization of pro-aging factors in old blood rather than young rejuvenating factors; neutral blood exchange with saline-albumin shows rejuvenation; removes age-elevated harmful proteins",Altered Intercellular Communication;Chronic Inflammation;Stem Cell Exhaustion,"Neutral blood exchange (saline-albumin) in old mice showed substantial rejuvenation supporting dilution hypothesis; heterochronic parabiosis rejuvenates brain, muscle, liver, bone in old mice; Alkahest developing plasma fraction therapeutics",Not reported,Mouse;Human,Phase 2,"N/A (Alkahest GRF6019 for AD; Lyfspn planning trials)","Cognitive function; tissue rejuvenation biomarkers; Alzheimer's disease endpoints (Alkahest GRF6019)","Alkahest: GRF6019 Phase 2 for Alzheimer's; Lyfspn planning therapeutic plasmapheresis trials; neutral blood exchange experiments support dilution hypothesis; no large-scale aging RCTs completed","Plasma transfusion: allergic reactions, infection transmission, TRALI risk; plasmapheresis is established medical procedure with known safety profile; Conboy approach (dilution) may be safer than young plasma transfusion","Conboy I and Conboy M. Neutral blood exchange experiments",2020,N/A,B,"Debate: young factors vs dilution of aged factors; Conboy dilution hypothesis has significant therapeutic implications; established plasmapheresis procedure"
GDF11,Young Blood Factor,Growth differentiation factor supplementation,"Growth Differentiation Factor 11; member of TGF-beta superfamily; proposed as rejuvenating circulating factor that declines with age; attenuates age-related tissue degeneration; effects on vasculature, brain, bone reported",Altered Intercellular Communication;Stem Cell Exhaustion,"GDF11 attenuates age-related knee degeneration in mice; controversy: some studies show GDF11 hinders muscle regeneration by inhibiting satellite cell activation while others show beneficial effects on vasculature, brain, bone",Not reported,Mouse,Preclinical,N/A,N/A,"Elevian (Lee Rubin, Harvard) developing GDF11-based therapies; primarily preclinical; significant controversy over net effects; dose-dependent and tissue-specific effects may explain discrepancies","Safety in humans not established; GDF11's effects on muscle regeneration are controversial (may inhibit satellite cell activation); dose-dependent effects complicate safety assessment","Sinha M et al. Restoring systemic GDF11 levels reverses age-related dysfunction. Science. 2014;344(6184):649-652",2014,10.1126/science.1251152,D,"Significant scientific controversy: beneficial vs harmful effects on muscle; Elevian (Harvard) pursuing development; dose and tissue specificity may be key"
AA-20,Autophagy Activator,Novel TFEB-dependent autophagy enhancer,"Novel small-molecule autophagy enhancer; activates TFEB/HLH-30-dependent autophagy without inhibiting mTORC1; promotes lysosomal biogenesis and autophagy gene expression; mechanistically distinct from rapamycin",Disabled Macroautophagy;Loss of Proteostasis,"Extends C. elegans lifespan without mTORC1 inhibition (PNAS 2025); significant because it separates autophagy enhancement from mTOR inhibition, potentially avoiding metabolic and immunosuppressive side effects of rapamycin",Not reported,C. elegans,Preclinical,N/A,N/A,"Preclinical only (C. elegans); no mammalian lifespan data yet; represents a new class of mTOR-independent autophagy activators",Unknown; early-stage compound,"AA-20 autophagy enhancer. PNAS. 2025",2025,N/A,D,"Key advance: separates autophagy from mTOR inhibition; C. elegans only; mammalian studies needed"
Trehalose,Autophagy Activator,Disaccharide autophagy inducer,"Disaccharide that induces autophagy via TFEB activation; promotes autophagic clearance of protein aggregates and damaged organelles; mechanism distinct from mTOR inhibition",Disabled Macroautophagy;Loss of Proteostasis,"Known autophagy activator with TFEB activation; multiple preclinical studies demonstrating clearance of protein aggregates; approaching clinical use for Alzheimer's disease (Frontiers 2024 review)",Not reported,Mouse;Cell models,Preclinical / Early clinical,N/A,"Autophagy markers; protein aggregate clearance; Alzheimer's disease endpoints","Available as supplement; no dedicated aging RCTs; being explored for Alzheimer's disease (autophagy-mediated clearance of amyloid/tau); selinexor (SINE/XPO1 inhibitor) is FDA-approved for myeloma and enriches nuclear TFEB","Generally well-tolerated as dietary disaccharide; available as supplement; safety profile for chronic high-dose use not fully established","Autophagy modulators approaching clinical use for Alzheimer's disease. Frontiers in Aging Neuroscience. 2024",2024,N/A,D,"Natural disaccharide; Alzheimer's application most advanced; available as supplement"
Senolytic CAR T Cells,Immunotherapy,Engineered immune cell senolytic,"CAR T cells engineered to target senescent cell surface markers (e.g., uPAR/urokinase plasminogen activator receptor); provides immune-mediated senescent cell clearance; prophylactic and potentially one-and-done senolytic approach",Cellular Senescence;Chronic Inflammation;Stem Cell Exhaustion,"uPAR-targeting CAR T cells demonstrated prophylactic and long-lasting efficacy against age-related metabolic dysfunction in mouse models; represents a living drug approach to senescent cell clearance",Not reported,Mouse,Preclinical,N/A,N/A,"Preclinical only; demonstrated efficacy in mouse models of metabolic dysfunction; represents one-and-done senolytic approach (living drug that persists and continuously clears senescent cells)","Unknown for aging indication; CAR T therapy carries known risks from oncology: cytokine release syndrome (CRS), neurotoxicity, off-target effects; risk of autoimmunity from targeting senescent cell markers expressed on non-senescent cells","Amor C et al. Senolytic CAR T cells reverse senescence-associated pathologies. Nature. 2024",2024,10.1038/s41586-024-07261-w,D,"One-and-done approach; living drug that persists; key concern: off-target effects on non-senescent cells expressing uPAR"
"RLS-1496 (Rubedo Life Sciences)",Senolytic,GPX4 modulator (ferroptosis-based),"GPX4 (glutathione peroxidase 4) modulator; induces ferroptosis selectively in senescent cells; exploits iron accumulation and lipid peroxide vulnerability in senescent cells; novel mechanism distinct from BCL-2/BCL-xL-based senolytics",Cellular Senescence;Chronic Inflammation,"Preclinical data supporting selective ferroptosis induction in senescent cells; first purpose-built senolytic to enter clinical development through regulatory pathway",Not reported,Mouse;Human (clinical),Phase 1 (IND cleared),N/A,"Actinic keratosis endpoints (FDA IND cleared Sept 2025); psoriasis/dermatitis/skin aging endpoints (EMA-cleared trial May 2025)","FDA IND cleared for actinic keratosis (September 2025); EMA-cleared trial for psoriasis/dermatitis/skin aging (May 2025); one of first purpose-built senolytics entering clinical development via regulatory pathway","Safety profile being established in IND-enabling studies and initial clinical trials; ferroptosis-based mechanism may have different toxicity profile than BCL-2/BCL-xL inhibitors","Rubedo Life Sciences RLS-1496 IND clearance. September 2025",2025,N/A,B,"Novel GPX4/ferroptosis mechanism; first purpose-built senolytic to clear FDA IND; dermatological applications first"
Haenkenium,Natural Senolytic,Natural polyphenol,"Natural polyphenol compound; reduces senescence markers including p16, p21, and SA-beta-gal; mechanism of senescent cell clearance under investigation",Cellular Senescence,"Reduced senescence markers (p16, p21, SA-beta-gal) in aged mice (2024); adds to natural compound senolytic arsenal alongside fisetin and quercetin",Not reported,Mouse,Preclinical,N/A,N/A,"Preclinical only; demonstrated reduction of senescence markers in aged mice; limited published data compared to other senolytics",Unknown; natural polyphenol may have favorable safety profile similar to other polyphenolic compounds,"Haenkenium senescence study in aged mice. 2024",2024,N/A,D,"Natural polyphenol; limited data; adds to growing arsenal of plant-derived senolytics"
"TAC (TERT Activating Compound)",Telomere Therapy,Epigenetic TERT de-repressor,"Small molecule identified from screen of 650,000+ compounds; epigenetically de-represses endogenous TERT gene promoter; restores physiological TERT regulation rather than constitutive overexpression; promotes neurogenesis and cognitive improvement through both telomere-dependent and transcription factor functions of TERT",Telomere Attrition;Cellular Senescence;Stem Cell Exhaustion,"TAC treatment for 6 months in aged animals (equivalent to >75 human years) led to new neuron formation (adult hippocampal neurogenesis) and significantly improved cognitive test performance; considered safer than constitutive telomerase overexpression because it restores physiological regulation",Not reported,Mouse (aged),Preclinical,N/A,N/A,"Preclinical only; discovered 2024; demonstrates that TERT reactivation reverses age-related cognitive decline through both telomere-dependent and telomere-independent (transcription factor) mechanisms","Early-stage evaluation; epigenetic de-repression approach considered safer than constitutive telomerase overexpression; restores physiological regulation; potential oncogenic risk under investigation","TAC discovery and preclinical results. High-throughput screen of 650000+ compounds. 2024",2024,N/A,D,"Screened from 650,000+ compounds; epigenetic approach considered safer than constitutive overexpression; cognitive improvement via TERT transcription factor function"
